Time,Object,Confidence
10:46:42,person,0.93
10:52:15,person,0.93
10:52:15,person,0.94
10:52:15,person,0.94
10:52:15,person,0.94
10:52:15,person,0.94
10:52:16,person,0.94
10:52:16,person,0.93
10:52:16,person,0.93
10:52:16,person,0.93
10:52:16,person,0.92
10:52:16,person,0.91
10:52:16,person,0.94
10:52:16,person,0.92
10:52:16,person,0.91
10:52:17,person,0.9
10:52:17,person,0.91
10:52:17,person,0.93
10:52:17,person,0.94
10:52:17,person,0.94
10:52:17,person,0.94
10:52:17,person,0.94
10:52:17,person,0.93
10:52:18,person,0.93
10:52:18,person,0.92
10:52:18,person,0.56
10:52:18,person,0.92
10:52:18,person,0.62
10:52:18,person,0.91
10:52:18,person,0.62
10:52:18,person,0.92
10:52:18,person,0.66
10:52:18,person,0.92
10:52:18,person,0.64
10:52:18,person,0.92
10:52:18,person,0.69
10:52:18,person,0.92
10:52:18,person,0.75
10:52:18,person,0.91
10:52:18,person,0.73
10:52:18,person,0.91
10:52:18,person,0.76
10:52:19,person,0.87
10:52:19,person,0.75
10:52:19,person,0.88
10:52:19,person,0.76
10:52:19,person,0.9
10:52:19,person,0.74
10:52:19,person,0.89
10:52:19,person,0.67
10:52:19,person,0.89
10:52:19,person,0.61
10:52:19,person,0.89
10:52:19,person,0.58
10:52:19,person,0.89
10:52:19,person,0.9
10:52:19,person,0.9
10:52:19,person,0.9
10:52:20,person,0.9
10:52:20,person,0.9
10:52:20,person,0.9
10:52:20,person,0.9
10:52:20,person,0.91
10:52:20,person,0.91
10:52:20,person,0.9
10:52:20,person,0.92
10:52:20,person,0.9
10:52:20,person,0.85
10:52:20,person,0.86
10:52:21,person,0.89
10:52:21,person,0.91
10:52:21,person,0.9
10:52:21,person,0.86
10:52:21,person,0.87
10:52:21,person,0.86
10:52:21,person,0.79
10:52:21,person,0.75
10:52:21,person,0.87
10:52:21,person,0.79
10:52:22,person,0.89
10:52:22,cell phone,0.81
10:52:22,person,0.81
10:52:22,cell phone,0.87
10:52:22,person,0.81
10:52:22,person,0.83
10:52:22,cell phone,0.83
10:52:22,person,0.81
10:52:22,cell phone,0.79
10:52:22,person,0.85
10:52:22,cell phone,0.75
10:52:22,person,0.85
10:52:22,cell phone,0.54
10:52:22,person,0.82
10:52:22,cell phone,0.7
10:52:22,person,0.84
10:52:22,cell phone,0.71
10:52:22,person,0.84
10:52:22,cell phone,0.74
10:52:23,person,0.81
10:52:23,cell phone,0.67
10:52:23,person,0.83
10:52:23,cell phone,0.56
10:52:23,remote,0.55
10:52:23,person,0.83
10:52:23,cell phone,0.56
10:52:23,remote,0.55
10:52:23,person,0.88
10:52:23,cell phone,0.74
10:52:23,person,0.88
10:52:23,cell phone,0.77
10:52:23,person,0.83
10:52:23,person,0.73
10:52:23,person,0.9
10:52:23,person,0.91
10:52:23,person,0.85
10:52:24,person,0.87
10:52:24,person,0.89
10:52:24,person,0.88
10:52:24,person,0.88
10:52:24,person,0.89
10:52:24,person,0.89
10:52:24,person,0.89
10:52:24,person,0.9
10:52:24,person,0.89
10:52:24,person,0.89
10:52:25,person,0.9
10:52:25,person,0.89
10:52:25,person,0.89
10:52:25,person,0.89
10:52:25,person,0.89
10:52:25,person,0.89
10:52:25,person,0.89
